设置,选项名称,值
选手信息,nick,ANGE1
选手信息,Name,Kirill Karasiow
选手信息,Birthday,"September 10, 1989"
选手信息,Country,Ukraine
选手信息,Team,Natus Vincere
鼠标,model,Razer Deathadder V3 Pro White
鼠标,DPI,400
鼠标,Sensitivity,1.70
鼠标,eDPI,680
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,1
准星设置,Alpha,200
准星设置,Color,Unknown
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,Unknown
视频设置,Aspect Ratio,Unknown
视频设置,Scaling Mode,Unknown
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Purple
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.145
雷达,Radar Map Zoom,0.25
展示皮肤,skins,"['★ StatTrak™ Butterfly Knife | Slaughter (Factory New)', '★ Driver Gloves | Crimson Weave (Minimal Wear)', 'StatTrak™ AK-47 | Redline (Minimal Wear)', 'StatTrak™ M4A1-S | Cyrex (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,Razer Deathadder V3 Pro White
外设,Keyboard,Logitech G715
外设,Headset,HyperX Cloud Revolver
外设,Mousepad,Logitech G640 NAVI
