设置,选项名称,值
选手信息,nick,MoriiSko
选手信息,Name,Josef Maurenc
选手信息,Birthday,"May 15, 2001"
选手信息,Country,Czechia
选手信息,Team,Free Agent
鼠标,model,Logitech G Pro X Superlight Magenta
鼠标,DPI,400
鼠标,Sensitivity,1.485
鼠标,eDPI,594
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,5
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,1
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,Unknown
持枪 视角,Offset X,Unknown
持枪 视角,Offset Y,Unknown
持枪 视角,Offset Z,Unknown
持枪 视角,Presetpos,Unknown
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,100%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Karambit | Fade (Factory New)', '★ Sport Gloves | Pandora’s Box (Well-Worn)', 'StatTrak™ AK-47 | Redline (Field-Tested)', 'M4A4 | In Living Color (Minimal Wear)', 'StatTrak™ AWP | Capillary (Field-Tested)', 'Glock-18 | Moonrise (Well-Worn)', 'USP-S | Neo-Noir (Field-Tested)', 'Desert Eagle | Printstream (Field-Tested)']"
外设,Monitor,ZOWIE XL2566K
外设,Mouse,Logitech G Pro X Superlight Magenta
外设,Keyboard,HyperX Alloy FPS RGB
外设,Headset,Logitech G Pro X Wireless Headset
外设,Mousepad,SteelSeries QcK+
外设,Earphones,HyperX Cloud Earbuds
显示器设置,DyAc,Off
显示器设置,Black eQualizer,10
显示器设置,Color Vibrance,12
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,Gamer 3
显示器设置,Brightness,80
显示器设置,Contrast,60
显示器设置,Sharpness,7
显示器设置,Gamma,Gamma 2
显示器设置,Color Temperature,Normal
显示器设置,AMA,High
