设置,选项名称,值
选手信息,nick,jnt
选手信息,Name,Jhonatan Silva
选手信息,Birthday,"May 22, 1994"
选手信息,Country,Brazil
选手信息,Team,Sharks Esports
鼠标,model,Logitech G Pro X Superlight Black
鼠标,DPI,400
鼠标,Sensitivity,2.20
鼠标,eDPI,880
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,1
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1024x768
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,110%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,very_low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Light Blue
雷达,Radar Centers The Player,No
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,0.995
雷达,Radar Map Zoom,0.4
展示皮肤,skins,"['★ Flip Knife', 'M4A1-S | Mecha Industries (Factory New)', 'AK-47 | Redline (Minimal Wear)', 'AWP | Redline (Minimal Wear)', 'Glock-18 | Candy Apple (Factory New)', 'USP-S | The Traitor (Well-Worn)', 'Desert Eagle | Crimson Web (Well-Worn)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Logitech G Pro X Superlight Black
外设,Keyboard,Razer BlackWidow X Chroma Mercury
外设,Headset,HyperX Cloud II
外设,Mousepad,SteelSeries QcK Heavy
显示器设置,DyAc,Off
显示器设置,Black eQualizer,12
显示器设置,Color Vibrance,10
显示器设置,Low Blue Light,0
显示器设置,Picture Mode,Gamer 1
显示器设置,Brightness,100
显示器设置,Contrast,60
显示器设置,Sharpness,7
显示器设置,Gamma,Gamma 3
显示器设置,Color Temperature,User Define
显示器设置,Red,90
显示器设置,Green,92
显示器设置,Blue,100
显示器设置,AMA,High
