设置,选项名称,值
选手信息,nick,kolor
选手信息,Name,Ádám Domoszlay
选手信息,Birthday,"October 26, 1999"
选手信息,Country,Hungary
选手信息,Team,Free Agent
鼠标,model,ZOWIE S1
鼠标,DPI,800
鼠标,Sensitivity,1.10
鼠标,eDPI,880
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,200
准星设置,Color,4
准星设置,Blue,50
准星设置,Green,250
准星设置,Red,50
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2
准星设置,Style,4
准星设置,Thickness,0.5
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Nomad Knife | Fade (Factory New)', 'AK-47 | Slate (Field-Tested)', 'M4A1-S | Mecha Industries (Battle-Scarred)', 'AWP | Wildfire (Field-Tested)', 'Glock-18 | Neo-Noir (Minimal Wear)', 'USP-S | Black Lotus (Minimal Wear)', 'Desert Eagle | Kumicho Dragon (Minimal Wear)']"
外设,Monitor,ZOWIE XL2540
外设,Mouse,ZOWIE S1
外设,Keyboard,Xtrfy K4 RGB
外设,Headset,Sennheiser GSP 600
