设置,选项名称,值
选手信息,nick,KrizzeN
选手信息,Name,Aidyn Turlybekov
选手信息,Birthday,"September 24, 1999"
选手信息,Country,Kazakhstan
选手信息,Team,Retired
鼠标,model,Xtrfy M4
鼠标,DPI,400
鼠标,Sensitivity,2.20
鼠标,eDPI,880
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,7
准星设置,Drawoutline,1
准星设置,Color,4
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,Unknown
准星设置,Gap,-2.2
准星设置,Size,1.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1680x1050
视频设置,Aspect Ratio,16:10
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['StatTrak™ AK-47 | Case Hardened (Factory New)', 'M4A4 | Tooth Fairy (Field-Tested)', 'StatTrak™ USP-S | Cyrex (Minimal Wear)', 'StatTrak™ Glock-18 | Wraiths (Minimal Wear)']"
外设,Monitor,ZOWIE XL2540
外设,Mouse,Xtrfy M4
外设,Keyboard,Logitech G512
外设,Headset,HyperX Cloud II
外设,Mousepad,ZOWIE G-SR
