设置,选项名称,值
选手信息,nick,Kvik
选手信息,Name,Aurimas Kvakšys
选手信息,Birthday,"November 18, 1995"
选手信息,Country,Lithuania
选手信息,Team,Free Agent
鼠标,model,Logitech G Pro X Superlight Black
鼠标,DPI,400
鼠标,Sensitivity,1.40
鼠标,eDPI,560
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,1
准星设置,Color,1
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,0
准星设置,Gap,-1
准星设置,Size,3
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1024x768
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Falchion Knife | Doppler Phase 4 (Factory New)', 'StatTrak™ M4A4 | Asiimov (Well-Worn)', 'M4A1-S | Player Two (Battle-Scarred)', 'AWP | Exoskeleton (Minimal Wear)', 'StatTrak™ USP-S | Black Lotus (Field-Tested)', 'StatTrak™ Glock-18 | Snack Attack (Field-Tested)', 'StatTrak™ Desert Eagle | Trigger Discipline (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,Logitech G Pro X Superlight Black
外设,Keyboard,SteelSeries Apex Pro
外设,Headset,HyperX Cloud II
外设,Mousepad,Logitech G640 Original
