设置,选项名称,值
选手信息,nick,MAJ3R
选手信息,Name,Engin Kupeli
选手信息,Birthday,"January 25, 1991"
选手信息,Country,Turkey
选手信息,Team,Eternal Fire
鼠标,model,Logitech G Pro X Superlight 2 Black
鼠标,DPI,400
鼠标,Sensitivity,1.8
鼠标,eDPI,720
鼠标,Zoom Sensitivity,1
鼠标,Hz,2000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,2
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-3
准星设置,Size,2.5
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,65
持枪 视角,Offset X,2
持枪 视角,Offset Y,2
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,0
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,106%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,4x MSAA
视频设置,Global Shadow Quality,High
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,High
视频设置,Particle Detail,Low
视频设置,Ambient Occlusion,High
视频设置,High Dynamic Range,Quality
视频设置,FidelityFX Super Resolution,Disabled (Highest Quality)
视频设置,NVIDIA Reflex Low Latency,Enabled + Boost
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ StatTrak™ Ursus Knife | Slaughter (Factory New)', '★ Specialist Gloves | Foundation (Field-Tested)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,Logitech G Pro X Superlight 2 Black
外设,Keyboard,SteelSeries Apex Pro TKL (2023)
外设,Headset,HyperX Cloud II
外设,Mousepad,SteelSeries QcK Heavy
