设置,选项名称,值
选手信息,nick,Mercury
选手信息,Name,Jingxiang Wang
选手信息,Birthday,"December 15, 2000"
选手信息,Country,China
选手信息,Team,TyLoo
鼠标,model,ZOWIE S2
鼠标,DPI,400
鼠标,Sensitivity,2.12
鼠标,eDPI,848
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,Unknown
准星设置,Alpha,Unknown
准星设置,Color,Unknown
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,Unknown
准星设置,Gap,Unknown
准星设置,Size,Unknown
准星设置,Style,Unknown
准星设置,Thickness,Unknown
准星设置,Sniper Width,Unknown
持枪 视角,FOV,Unknown
持枪 视角,Offset X,Unknown
持枪 视角,Offset Y,Unknown
持枪 视角,Offset Z,Unknown
持枪 视角,Presetpos,Unknown
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ M9 Bayonet | Doppler Sapphire (Factory New)', '★ Hand Wraps | Cobalt Skulls (Battle-Scarred)', 'AK-47 | Legion of Anubis (Minimal Wear)', 'StatTrak™ M4A1-S | Player Two (Minimal Wear)', 'AWP | Worm God (Minimal Wear)', 'StatTrak™ Glock-18 | Catacombs (Field-Tested)', 'StatTrak™ USP-S | Torque (Field-Tested)', 'StatTrak™ Desert Eagle | Mecha Industries (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE S2
外设,Keyboard,SteelSeries Apex Pro
外设,Headset,HyperX Cloud II
外设,Mousepad,ZOWIE G-SR
