设置,选项名称,值
选手信息,nick,crush
选手信息,Name,Igor Shevchenko
选手信息,Birthday,"August 12, 1995"
选手信息,Country,Ukraine
选手信息,Team,Natus Vincere Jr.
鼠标,model,ZOWIE EC2-B
鼠标,DPI,400
鼠标,Sensitivity,1.57
鼠标,eDPI,628
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,Unknown
准星设置,Color,Unknown
准星设置,Blue,Unknown
准星设置,Green,Unknown
准星设置,Red,Unknown
准星设置,Dot,Unknown
准星设置,Gap,Unknown
准星设置,Size,Unknown
准星设置,Style,Unknown
准星设置,Thickness,Unknown
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Karambit | Doppler Phase 2 (Factory New)', '★ Specialist Gloves | Crimson Kimono (Field-Tested)', 'AK-47 | Bloodsport (Minimal Wear)', 'M4A4 | Asiimov (Field-Tested)', 'AWP | Exoskeleton (Well-Worn)', 'StatTrak™ Glock-18 | Grinder (Minimal Wear)', 'StatTrak™ USP-S | Caiman (Factory New)', 'Desert Eagle | Night Heist (Factory New)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC2-B
外设,Keyboard,Custom Keyboard
外设,Headset,HyperX Cloud Alpha
外设,Mousepad,ZOWIE G-SR-SE Blue
