设置,选项名称,值
选手信息,nick,kinqie
选手信息,Name,Semyon Lisitsyn
选手信息,Birthday,"November 7, 1991"
选手信息,Country,Russia
选手信息,Team,Free Agent
鼠标,model,Logitech G Pro Wireless
鼠标,DPI,800
鼠标,Sensitivity,1.25
鼠标,eDPI,1000
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,1
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,5
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1920x1080
视频设置,Aspect Ratio,16:9
视频设置,Scaling Mode,Native
视频设置,Brightness,Unknown
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Unknown
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Unknown
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ Bowie Knife | Rust Coat (Battle-Scarred)', 'AK-47 | Neon Rider (Factory New)', 'Souvenir M4A1-S | Master Piece (Field-Tested)', 'AWP | Corticera (Minimal Wear)', 'Souvenir Glock-18 | Night (Minimal Wear)', 'Souvenir USP-S | Check Engine (Field-Tested)', 'StatTrak™ Desert Eagle | Crimson Web (Field-Tested)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,Logitech G Pro Wireless
外设,Keyboard,HyperX Alloy FPS
外设,Headset,Logitech G Pro X Headset
外设,Mousepad,ZOWIE G-SR-SE Red
