设置,选项名称,值
选手信息,nick,oBo
选手信息,Name,Owen Schlatter
选手信息,Birthday,"June 26, 2003"
选手信息,Country,United States
选手信息,Team,Retired
鼠标,model,ZOWIE EC2-B Divina Blue
鼠标,DPI,400
鼠标,Sensitivity,2.20
鼠标,eDPI,880
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Style,4
准星设置,Follow Recoil,Unknown
准星设置,Dot,0
准星设置,Length,2
准星设置,Thickness,0
准星设置,Gap,-2
准星设置,Outline,0
准星设置,Outlinethickness,Unknown
准星设置,Color,4
准星设置,Red,255
准星设置,Green,0
准星设置,Blue,0
准星设置,Alpha,Unknown
准星设置,Alpha Value,200
准星设置,T Style,Unknown
准星设置,Deployed Weapon Gap,Unknown
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1024x768
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,95%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Unknown
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Anisotropic 4x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.85
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.3
雷达,Radar Map Zoom,1.00
展示皮肤,skins,"['★ Karambit | Gamma Doppler Emerald (Factory New)', 'Glock-18 | Bullet Queen (Factory New)', 'Desert Eagle | Blaze (Factory New)', 'AK-47 | Asiimov (Factory New)', 'M4A4 | Poseidon (Factory New)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC2-B Divina Blue
外设,Keyboard,HyperX Alloy FPS Pro
外设,Headset,HyperX Cloud II
外设,Mousepad,SteelSeries QcK Heavy
