设置,选项名称,值
选手信息,nick,prt
选手信息,Name,Matheus Scuvero
选手信息,Birthday,"December 18, 1997"
选手信息,Country,Brazil
选手信息,Team,Free Agent
鼠标,model,ZOWIE EC2
鼠标,DPI,400
鼠标,Sensitivity,2.00
鼠标,eDPI,800
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Color,4
准星设置,Blue,255
准星设置,Green,255
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-4
准星设置,Size,4
准星设置,Style,4
准星设置,Thickness,0
准星设置,Sniper Width,Unknown
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Disabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,None
视频设置,Global Shadow Quality,Low
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Bilinear
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,Unknown
界面 大小,HUD Color,Unknown
雷达,Radar Centers The Player,Unknown
雷达,Radar is Rotating,Unknown
雷达,Toggle Shape With Scoreboard,Unknown
雷达,Radar Hud Size,Unknown
雷达,Radar Map Zoom,Unknown
展示皮肤,skins,"['★ M9 Bayonet | Slaughter (Factory New)', '★ Hand Wraps | Slaughter (Field-Tested)', 'StatTrak™ AK-47 | Vulcan (Field-Tested)', 'StatTrak™ M4A4 | Buzz Kill (Minimal Wear)', 'AWP | Mortis (Field-Tested)', 'StatTrak™ USP-S | Cyrex (Field-Tested)', 'StatTrak™ Glock-18 | Bullet Queen (Field-Tested)', 'Desert Eagle | Cobalt Disruption (Factory New)']"
外设,Monitor,ZOWIE XL2546K
外设,Mouse,ZOWIE EC2
外设,Keyboard,SteelSeries Apex Pro
外设,Headset,EPOS GSP 500
外设,Mousepad,SteelSeries QcK Heavy
