设置,选项名称,值
选手信息,nick,shalfey
选手信息,Name,Aleksandr Marenov
选手信息,Birthday,"June 8, 2002"
选手信息,Country,Russia
选手信息,Team,forZe
鼠标,model,Logitech G Pro X Superlight White
鼠标,DPI,400
鼠标,Sensitivity,2.01
鼠标,eDPI,804
鼠标,Zoom Sensitivity,1
鼠标,Hz,1000
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,0
准星设置,Alpha,255
准星设置,Color,2
准星设置,Blue,250
准星设置,Green,150
准星设置,Red,50
准星设置,Dot,0
准星设置,Gap,-4
准星设置,Size,1.5
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,0
持枪 视角,Offset Z,-1.5
持枪 视角,Presetpos,3
视频设置,Resolution,1280x960
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Stretched
视频设置,Brightness,130%
视频设置,Display Mode,Fullscreen
视频设置,Boost Player Contrast,Enabled
视频设置,Wait for Vertical Sync,Disabled
视频设置,Multisampling Anti-Aliasing Mode,8x MSAA
视频设置,Global Shadow Quality,Medium
视频设置,Model / Texture Detail,Medium
视频设置,Texture Filtering Mode,Anisotropic 16x
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.95
界面 大小,HUD Color,Team Color
雷达,Radar Centers The Player,Yes
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1
雷达,Radar Map Zoom,0.5
展示皮肤,skins,"['★ Karambit | Doppler Phase 2 (Factory New)', '★ Specialist Gloves | Emerald Web (Minimal Wear)', 'M4A1-S | Printstream (Minimal Wear)']"
外设,Monitor,ZOWIE XL2546 Divina Blue
外设,Mouse,Logitech G Pro X Superlight White
外设,Keyboard,Logitech G Pro X Keyboard
外设,Headset,HyperX Cloud Alpha S
外设,Mousepad,SteelSeries QcK Heavy
