设置,选项名称,值
选手信息,nick,xsepower
选手信息,Name,Bogdan Chernikov
选手信息,Birthday,"February 26, 1998"
选手信息,Country,Russia
选手信息,Team,PARIVISION
鼠标,model,ZOWIE EC2-CW
鼠标,DPI,400
鼠标,Sensitivity,2.20
鼠标,eDPI,880
鼠标,Zoom Sensitivity,1.00
鼠标,Hz,500
鼠标,Windows Sensitivity,6
准星设置,Drawoutline,1
准星设置,Alpha,200
准星设置,Color,4
准星设置,Blue,0
准星设置,Green,0
准星设置,Red,255
准星设置,Dot,0
准星设置,Gap,-2
准星设置,Size,3
准星设置,Style,4
准星设置,Thickness,1
准星设置,Sniper Width,1
持枪 视角,FOV,68
持枪 视角,Offset X,2.5
持枪 视角,Offset Y,1.5
持枪 视角,Offset Z,-2
持枪 视角,Presetpos,0
视频设置,Resolution,1024x768
视频设置,Aspect Ratio,4:3
视频设置,Scaling Mode,Black Bars
视频设置,Brightness,Unknown
视频设置,Display Mode,Unknown
视频设置,Boost Player Contrast,Unknown
视频设置,Wait for Vertical Sync,Unknown
视频设置,Multisampling Anti-Aliasing Mode,Unknown
视频设置,Global Shadow Quality,Low
视频设置,Model / Texture Detail,Low
视频设置,Texture Filtering Mode,Unknown
视频设置,Shader Detail,Low
视频设置,Particle Detail,Unknown
视频设置,Ambient Occlusion,Unknown
视频设置,High Dynamic Range,Unknown
视频设置,FidelityFX Super Resolution,Unknown
视频设置,NVIDIA Reflex Low Latency,Unknown
界面 大小,HUD Scale,0.8555
界面 大小,HUD Color,Yellow
雷达,Radar Centers The Player,No
雷达,Radar is Rotating,Yes
雷达,Toggle Shape With Scoreboard,Yes
雷达,Radar Hud Size,1.031232
雷达,Radar Map Zoom,0.35
展示皮肤,skins,"['★ Flip Knife | Marble Fade (Factory New)', '★ Specialist Gloves | Fade (Factory New)', 'AK-47 | The Empress (Factory New)', 'M4A1-S | Hyper Beast (Factory New)', 'AWP | Asiimov (Field-Tested)', 'Glock-18 | Neo-Noir (Factory New)', 'USP-S | Kill Confirmed (Factory New)', 'Desert Eagle | Printstream (Factory New)']"
外设,Monitor,ZOWIE XL2546
外设,Mouse,ZOWIE EC2-CW
外设,Keyboard,SteelSeries Apex M750
外设,Headset,HyperX Cloud Alpha
外设,Mousepad,ZOWIE G-SR
